H,L,T,A[0],A[1]
1,1,10,52.03108215332031,59.33961486816406
10,1,10,34.341064453125,40.00507736206055
100,1,10,67.48224639892578,77.9272689819336
1000,1,10,24.89672088623047,29.285324096679688
10000,1,10,7.65981388092041,11.514947891235352
1,1,100,78.77916717529297,85.41422271728516
10,1,100,20.897228240966797,26.67311668395996
100,1,100,26.8853816986084,33.027156829833984
1000,1,100,3.7794859409332275,6.460687637329102
10000,1,100,2.618691921234131,4.9038591384887695
1,1,1000,68.38676452636719,75.09248352050781
10,1,1000,21.203073501586914,27.1131534576416
100,1,1000,3.6173853874206543,6.141910552978516
1000,1,1000,1.8378655910491943,3.9550399780273438
10000,1,1000,1.0371464490890503,2.9798617362976074
1,1,10000,3.940209150314331,6.2754082679748535
10,1,10000,2.5082147121429443,4.863474369049072
100,1,10000,1.0885504484176636,3.1175591945648193
1000,1,10000,0.5165672898292542,2.5734634399414062
10000,1,10000,0.11962803453207016,2.682220697402954
1,2,10,52.661102294921875,59.7241096496582
10,2,10,31.029319763183594,37.82570266723633
100,2,10,29.76395606994629,36.13344955444336
1000,2,10,5.513744354248047,8.190778732299805
10000,2,10,45.46221923828125,54.05474853515625
1,2,100,53.699344635009766,61.01764678955078
10,2,100,28.636938095092773,35.229557037353516
100,2,100,9.502445220947266,13.045391082763672
1000,2,100,1.9056005477905273,4.09722375869751
10000,2,100,1.4738689661026,3.5175764560699463
1,2,1000,46.558570861816406,53.792266845703125
10,2,1000,15.940654754638672,20.5311279296875
100,2,1000,2.0272538661956787,4.216937065124512
1000,2,1000,0.7468681335449219,2.756730794906616
10000,2,1000,0.837440013885498,2.772576332092285
1,2,10000,30.9255313873291,37.97712707519531
10,2,10000,1.0452361106872559,2.9070451259613037
100,2,10000,0.8194018602371216,2.7531731128692627
1000,2,10000,0.04760873690247536,2.9804136753082275
10000,2,10000,0.05018068850040436,2.9213755130767822
1,3,10,30.950759887695312,38.018341064453125
10,3,10,32.261573791503906,39.48612976074219
100,3,10,28.443941116333008,34.859134674072266
1000,3,10,3.422065019607544,5.977557182312012
10000,3,10,7.858559608459473,7.303225994110107
1,3,100,32.422454833984375,39.40788269042969
10,3,100,32.43532180786133,39.2781867980957
100,3,100,4.298952579498291,6.8100504875183105
1000,3,100,1.4216021299362183,3.386362075805664
10000,3,100,1.1331127882003784,3.015174627304077
1,3,1000,39.80161666870117,46.68482971191406
10,3,1000,23.56372833251953,29.39632225036621
100,3,1000,1.3016239404678345,3.281402587890625
1000,3,1000,0.14490921795368195,2.7910494804382324
10000,3,1000,0.12913578748703003,2.9217581748962402
1,3,10000,30.91519546508789,37.972511291503906
10,3,10000,0.9791901111602783,2.8663129806518555
100,3,10000,0.08620727062225342,2.550187349319458
1000,3,10000,0.003839008742943406,2.652738571166992
