H,L,T,A[0],A[1]
1,2,10000,3.368673324584961,5.741112232208252
2,2,10000,3.4248058795928955,5.802339553833008
3,2,10000,3.886465549468994,6.217447280883789
4,2,10000,1.9425443410873413,4.096275329589844
5,2,10000,3.321890115737915,5.373968124389648
6,2,10000,2.1266300678253174,4.274553298950195
7,2,10000,1.5662198066711426,3.6176412105560303
8,2,10000,1.363421082496643,3.2495007514953613
9,2,10000,2.3945608139038086,4.7950968742370605
10,2,10000,1.245486855506897,3.1712937355041504
11,2,10000,1.1665410995483398,3.104583263397217
12,2,10000,1.0994857549667358,2.939265489578247
13,2,10000,1.0274763107299805,2.8547372817993164
14,2,10000,1.3110696077346802,3.2357099056243896
15,2,10000,0.9748584628105164,2.738142490386963
16,2,10000,1.0019563436508179,2.785294532775879
17,2,10000,1.0997511148452759,3.0424609184265137
18,2,10000,1.2988731861114502,3.1842875480651855
19,2,10000,1.0215932130813599,2.860419750213623
20,2,10000,0.9185959696769714,2.7483150959014893
21,2,10000,0.9779031276702881,2.724592447280884
22,2,10000,0.8957895040512085,2.752289056777954
23,2,10000,0.9731707572937012,2.760523796081543
24,2,10000,0.9082226157188416,2.78686785697937
25,2,10000,1.0257678031921387,2.8802077770233154
26,2,10000,0.9537208676338196,2.727292060852051
27,2,10000,0.9456586837768555,2.7495152950286865
28,2,10000,0.8392574191093445,2.7467832565307617
29,2,10000,0.8325861692428589,2.7818429470062256
30,2,10000,0.8633819818496704,2.7327470779418945
31,2,10000,0.9777565002441406,2.794163465499878
32,2,10000,0.8629192113876343,2.802452325820923
33,2,10000,0.9491699934005737,2.7584142684936523
34,2,10000,0.826292872428894,2.7854580879211426
35,2,10000,0.6285561919212341,2.627251625061035
36,2,10000,0.9474694728851318,2.729862928390503
37,2,10000,0.9500387907028198,2.7617762088775635
38,2,10000,0.7931696772575378,2.681370496749878
39,2,10000,0.8266526460647583,2.7853291034698486
40,2,10000,0.9647437334060669,2.7612085342407227
41,2,10000,0.8239796161651611,2.7846570014953613
42,2,10000,0.8326608538627625,2.7806825637817383
43,2,10000,0.8286454677581787,2.767652750015259
44,2,10000,0.8230808973312378,2.781937837600708
45,2,10000,0.8256850838661194,2.774596929550171
46,2,10000,0.8252044320106506,2.7778573036193848
47,2,10000,0.8227229714393616,2.763486623764038
48,2,10000,0.47644174098968506,2.609149217605591
49,2,10000,0.8235637545585632,2.7725272178649902
50,2,10000,0.8250502347946167,2.794811725616455
51,2,10000,0.786203920841217,2.8066625595092773
52,2,10000,0.8205338716506958,2.760511875152588
53,2,10000,0.8213975429534912,2.759711503982544
54,2,10000,0.8297224640846252,2.776707410812378
55,2,10000,0.828359842300415,2.7706727981567383
56,2,10000,0.8260518908500671,2.7801883220672607
57,2,10000,0.8246317505836487,2.764580249786377
58,2,10000,0.6576070785522461,2.657038927078247
59,2,10000,0.8220890760421753,2.764435291290283
60,2,10000,0.8234829902648926,2.7794740200042725
61,2,10000,0.8192510604858398,2.7478392124176025
62,2,10000,0.822602391242981,2.772777557373047
63,2,10000,0.8209362030029297,2.759171485900879
64,2,10000,0.8206433057785034,2.754913330078125
65,2,10000,0.8228832483291626,2.7771713733673096
66,2,10000,0.8195545077323914,2.753955841064453
67,2,10000,0.8224439024925232,2.764350652694702
68,2,10000,0.8196142315864563,2.764486312866211
69,2,10000,0.8192508816719055,2.75892972946167
70,2,10000,0.12554363906383514,2.5436112880706787
71,2,10000,0.5450642704963684,2.7078421115875244
72,2,10000,0.5130256414413452,2.5676779747009277
73,2,10000,0.8209552764892578,2.7710251808166504
74,2,10000,0.4706282913684845,2.595611333847046
75,2,10000,0.4399125277996063,2.4665260314941406
76,2,10000,0.22815290093421936,2.530282974243164
77,2,10000,0.8198687434196472,2.7613365650177
78,2,10000,0.4212065637111664,2.37631893157959
79,2,10000,0.8196637630462646,2.7667105197906494
80,2,10000,0.2913580536842346,2.5081422328948975
81,2,10000,0.11644654721021652,2.5824084281921387
82,2,10000,0.33719009160995483,2.536151647567749
83,2,10000,0.8221802115440369,2.7536709308624268
84,2,10000,0.19612792134284973,2.253976583480835
85,2,10000,0.8204373121261597,2.781144380569458
86,2,10000,0.19053295254707336,2.490309000015259
87,2,10000,0.1560247838497162,2.5456395149230957
88,2,10000,0.14023248851299286,2.5094966888427734
89,2,10000,0.8199201822280884,2.746800422668457
90,2,10000,0.14792051911354065,2.5797252655029297
91,2,10000,0.4372967779636383,2.5180909633636475
92,2,10000,0.12851235270500183,2.4156548976898193
93,2,10000,0.14212921261787415,2.5056581497192383
94,2,10000,0.3976890742778778,2.4855597019195557
95,2,10000,0.819364070892334,2.7547736167907715
96,2,10000,0.819767415523529,2.746212959289551
97,2,10000,0.10089190304279327,2.591094970703125
98,2,10000,0.20880554616451263,2.48616623878479
99,2,10000,0.8200417757034302,2.758925437927246
100,2,10000,0.8197017908096313,2.74694561958313
101,2,10000,0.8197444081306458,2.75467586517334
102,2,10000,0.11797872185707092,2.581359386444092
103,2,10000,0.8194764852523804,2.756692409515381
104,2,10000,0.131317138671875,2.387406349182129
105,2,10000,0.8192822933197021,2.770750045776367
106,2,10000,0.23133587837219238,2.334007740020752
107,2,10000,0.8193010091781616,2.755769729614258
108,2,10000,0.09543357789516449,2.555277109146118
109,2,10000,0.20827613770961761,2.400252342224121
110,2,10000,0.2965549826622009,2.5258970260620117
111,2,10000,0.819701075553894,2.765437602996826
112,2,10000,0.8185872435569763,2.7471134662628174
113,2,10000,0.10001816600561142,2.4431188106536865
114,2,10000,0.8201777935028076,2.7447621822357178
115,2,10000,0.8203604817390442,2.7617645263671875
116,2,10000,0.1178995743393898,2.506218910217285
117,2,10000,0.2817131280899048,2.383986234664917
118,2,10000,0.19797396659851074,2.502455949783325
119,2,10000,0.8201019763946533,2.7537217140197754
120,2,10000,0.1649293750524521,2.523869752883911
